Wavelength	n	k
8.6207	7.115	16.929
8.7719	7.218	17.195
8.9286	7.317	17.476
9.0909	7.455	17.774
9.2593	7.584	18.059
9.434	7.721	18.366
9.6154	7.864	18.676
9.8039	8.025	18.992
10	8.201	19.327
10.2041	8.37	19.66
10.4167	8.546	19.986
10.6383	8.732	20.344
10.8696	8.937	20.716
11.1111	9.136	21.086
11.3636	9.369	21.473
11.6279	9.595	21.856
11.9048	9.831	22.265
12.1951	10.079	22.688
12.5	10.335	23.123
12.8205	10.619	23.577
13.1579	10.911	24.042
13.5135	11.205	24.5
13.8889	11.515	25.016
14.2857	11.814	25.545
14.7059	12.166	26.097
15.1515	12.516	26.686
15.625	12.929	27.32
16.129	13.352	27.954
16.6667	13.803	28.636
17.2414	14.266	29.301
17.8571	14.769	30.059
18.5185	15.347	30.829
19.2308	15.92	31.621
20	16.515	32.549
20.8333	17.198	33.469
21.7391	18.038	34.513
22.7273	18.944	35.431
23.8095	20.031	36.348
25	20.688	37.284
26.3158	21.445	38.482
27.7778	22.327	39.897
29.4118	23.283	41.521
31.25	24.459	43.439
33.3333	25.82	45.534
35.7143	27.455	47.998
38.4615	29.442	50.816
41.6667	31.972	54.228
45.4545	35.375	58.2
50	39.98	62.499
55.5556	46.731	67.736
