Wavelength	n	k
3.1	3.99917	0
3.12	3.99861	0
3.14	3.99806	0
3.16	3.99752	0
3.18	3.997	0
3.2	3.99648	0
3.22	3.99597	0
3.24	3.99547	0
3.26	3.99498	0
3.28	3.9945	0
3.3	3.99403	0
3.32	3.99357	0
3.34	3.99311	0
3.36	3.99267	0
3.38	3.99223	0
3.4	3.9918	0
3.42	3.99137	0
3.44	3.99096	0
3.46	3.99055	0
3.48	3.99014	0
3.5	3.98975	0
3.52	3.98936	0
3.54	3.98898	0
3.56	3.9886	0
3.58	3.98823	0
3.6	3.98787	0
3.62	3.98751	0
3.64	3.98716	0
3.66	3.98682	0
3.68	3.98648	0
3.7	3.98614	0
3.72	3.98581	0
3.74	3.98549	0
3.76	3.98517	0
3.78	3.98486	0
3.8	3.98455	0
3.82	3.98425	0
3.84	3.98395	0
3.86	3.98365	0
3.88	3.98336	0
3.9	3.98308	0
3.92	3.9828	0
3.94	3.98252	0
3.96	3.98225	0
3.98	3.98198	0
4	3.98171	0
4.02	3.98145	0
4.04	3.9812	0
4.06	3.98094	0
4.08	3.9807	0
4.1	3.98045	0
4.12	3.98021	0
4.14	3.97997	0
4.16	3.97973	0
4.18	3.9795	0
4.2	3.97927	0
4.22	3.97905	0
4.24	3.97883	0
4.26	3.97861	0
4.28	3.97839	0
4.3	3.97818	0
4.32	3.97797	0
4.34	3.97776	0
4.36	3.97756	0
4.38	3.97736	0
4.4	3.97716	0
4.42	3.97696	0
4.44	3.97677	0
4.46	3.97658	0
4.48	3.97639	0
4.5	3.97621	0
4.52	3.97602	0
4.54	3.97584	0
4.56	3.97566	0
4.58	3.97549	0
4.6	3.97531	0
4.62	3.97514	0
4.64	3.97497	0
4.66	3.97481	0
4.68	3.97464	0
4.7	3.97448	0
4.72	3.97432	0
4.74	3.97416	0
4.76	3.974	0
4.78	3.97385	0
4.8	3.97369	0
4.82	3.97354	0
4.84	3.97339	0
4.86	3.97325	0
4.88	3.9731	0
4.9	3.97296	0
4.92	3.97282	0
4.94	3.97268	0
4.96	3.97254	0
4.98	3.9724	0
5	3.97227	0
5.02	3.97213	0
5.04	3.972	0
5.06	3.97187	0
5.08	3.97174	0
5.1	3.97161	0
5.12	3.97149	0
5.14	3.97136	0
5.16	3.97124	0
5.18	3.97112	0
5.2	3.971	0
5.22	3.97088	0
5.24	3.97076	0
5.26	3.97065	0
5.28	3.97053	0
5.3	3.97042	0
5.32	3.97031	0
5.34	3.97019	0
5.36	3.97008	0
5.38	3.96998	0
5.4	3.96987	0
5.42	3.96976	0
5.44	3.96966	0
5.46	3.96955	0
5.48	3.96945	0
5.5	3.96935	0
5.52	3.96925	0
5.54	3.96915	0
5.56	3.96905	0
5.58	3.96895	0
5.6	3.96886	0
5.62	3.96876	0
5.64	3.96867	0
5.66	3.96858	0
5.68	3.96848	0
5.7	3.96839	0
5.72	3.9683	0
5.74	3.96821	0
5.76	3.96812	0
5.78	3.96804	0
5.8	3.96795	0
5.82	3.96787	0
5.84	3.96778	0
5.86	3.9677	0
5.88	3.96761	0
5.9	3.96753	0
5.92	3.96745	0
5.94	3.96737	0
5.96	3.96729	0
5.98	3.96721	0
6	3.96713	0
6.02	3.96705	0
6.04	3.96698	0
6.06	3.9669	0
6.08	3.96683	0
6.1	3.96675	0
6.12	3.96668	0
6.14	3.96661	0
6.16	3.96653	0
6.18	3.96646	0
6.2	3.96639	0
6.22	3.96632	0
6.24	3.96625	0
6.26	3.96618	0
6.28	3.96612	0
6.3	3.96605	0
6.32	3.96598	0
6.34	3.96591	0
6.36	3.96585	0
6.38	3.96578	0
6.4	3.96572	0
6.42	3.96566	0
6.44	3.96559	0
6.46	3.96553	0
6.48	3.96547	0
6.5	3.96541	0
6.52	3.96535	0
6.54	3.96529	0
6.56	3.96523	0
6.58	3.96517	0
6.6	3.96511	0
6.62	3.96505	0
6.64	3.96499	0
6.66	3.96493	0
6.68	3.96488	0
6.7	3.96482	0
6.72	3.96477	0
6.74	3.96471	0
6.76	3.96466	0
6.78	3.9646	0
6.8	3.96455	0
6.82	3.9645	0
6.84	3.96444	0
6.86	3.96439	0
6.88	3.96434	0
6.9	3.96429	0
6.92	3.96424	0
6.94	3.96419	0
6.96	3.96414	0
6.98	3.96409	0
7	3.96404	0
7.02	3.96399	0
7.04	3.96394	0
7.06	3.96389	0
7.08	3.96384	0
7.1	3.9638	0
7.12	3.96375	0
7.14	3.9637	0
7.16	3.96366	0
7.18	3.96361	0
7.2	3.96357	0
7.22	3.96352	0
7.24	3.96348	0
7.26	3.96343	0
7.28	3.96339	0
7.3	3.96335	0
7.32	3.9633	0
7.34	3.96326	0
7.36	3.96322	0
7.38	3.96318	0
7.4	3.96314	0
7.42	3.96309	0
7.44	3.96305	0
7.46	3.96301	0
7.48	3.96297	0
7.5	3.96293	0
7.52	3.96289	0
7.54	3.96285	0
7.56	3.96281	0
7.58	3.96278	0
7.6	3.96274	0
7.62	3.9627	0
7.64	3.96266	0
7.66	3.96262	0
7.68	3.96259	0
7.7	3.96255	0
7.72	3.96251	0
7.74	3.96248	0
7.76	3.96244	0
7.78	3.96241	0
7.8	3.96237	0
7.82	3.96233	0
7.84	3.9623	0
7.86	3.96226	0
7.88	3.96223	0
7.9	3.9622	0
