Wavelength	n	k
1.79083	1.44053	0.00003
1.79211	1.44052	0.00003
1.7934	1.4405	0.00003
1.79469	1.44049	0.00003
1.79598	1.44047	0.00003
1.79727	1.44046	0.00003
1.79856	1.44044	0.00003
1.79986	1.44043	0.00003
1.80115	1.44041	0.00003
1.80245	1.4404	0.00003
1.80375	1.44038	0.00003
1.80505	1.44037	0.00003
1.80636	1.44035	0.00003
1.80766	1.44034	0.00003
1.80897	1.44032	0.00003
1.81028	1.4403	0.00003
1.81159	1.44029	0.00003
1.81291	1.44027	0.00003
1.81422	1.44026	0.00003
1.81554	1.44024	0.00003
1.81686	1.44023	0.00003
1.81818	1.44021	0.00003
1.81951	1.4402	0.00003
1.82083	1.44018	0.00003
1.82216	1.44016	0.00003
1.82349	1.44015	0.00003
1.82482	1.44013	0.00003
1.82615	1.44012	0.00003
1.82749	1.4401	0.00003
1.82882	1.44008	0.00003
1.83016	1.44007	0.00003
1.8315	1.44005	0.00003
1.83284	1.44004	0.00003
1.83419	1.44002	0.00003
1.83554	1.44	0.00003
1.83688	1.43999	0.00003
1.83824	1.43997	0.00003
1.83959	1.43996	0.00003
1.84094	1.43994	0.00003
1.8423	1.43992	0.00003
1.84366	1.43991	0.00003
1.84502	1.43989	0.00003
1.84638	1.43987	0.00003
1.84775	1.43986	0.00003
1.84911	1.43984	0.00003
1.85048	1.43982	0.00003
1.85185	1.43981	0.00003
1.85322	1.43979	0.00003
1.8546	1.43977	0.00003
1.85598	1.43976	0.00003
1.85736	1.43974	0.00003
1.85874	1.43972	0.00003
1.86012	1.43971	0.00003
1.8615	1.43969	0.00003
1.86289	1.43967	0.00003
1.86428	1.43966	0.00003
1.86567	1.43964	0.00003
1.86706	1.43962	0.00003
1.86846	1.43961	0.00003
1.86986	1.43959	0.00003
1.87126	1.43957	0.00003
1.87266	1.43955	0.00003
1.87406	1.43954	0.00003
1.87547	1.43952	0.00003
1.87688	1.4395	0.00003
1.87829	1.43948	0.00003
1.8797	1.43947	0.00003
1.88111	1.43945	0.00003
1.88253	1.43943	0.00003
1.88395	1.43941	0.00003
1.88537	1.4394	0.00003
1.88679	1.43938	0.00003
1.88822	1.43936	0.00003
1.88964	1.43934	0.00003
1.89107	1.43933	0.00003
1.89251	1.43931	0.00003
1.89394	1.43929	0.00003
1.89538	1.43927	0.00003
1.89681	1.43925	0.00003
1.89825	1.43924	0.00003
1.8997	1.43922	0.00003
1.90114	1.4392	0.00003
1.90259	1.43918	0.00003
1.90404	1.43916	0.00003
1.90549	1.43915	0.00003
1.90694	1.43913	0.00003
1.9084	1.43911	0.00003
1.90985	1.43909	0.00003
1.91131	1.43907	0.00003
1.91278	1.43906	0.00003
1.91424	1.43904	0.00003
1.91571	1.43902	0.00003
1.91718	1.439	0.00003
1.91865	1.43898	0.00003
1.92012	1.43896	0.00003
1.9216	1.43894	0.00003
1.92308	1.43893	0.00003
1.92456	1.43891	0.00003
1.92604	1.43889	0.00003
1.92753	1.43887	0.00003
1.92901	1.43885	0.00003
1.9305	1.43883	0.00003
1.93199	1.43881	0.00003
1.93349	1.43879	0.00003
1.93498	1.43877	0.00003
1.93648	1.43875	0.00004
1.93798	1.43874	0.00004
1.93949	1.43872	0.00004
1.94099	1.4387	0.00004
1.9425	1.43868	0.00004
1.94401	1.43866	0.00004
1.94553	1.43864	0.00004
1.94704	1.43862	0.00004
1.94856	1.4386	0.00004
1.95008	1.43858	0.00004
1.9516	1.43856	0.00004
1.95313	1.43854	0.00004
1.95465	1.43852	0.00004
1.95618	1.4385	0.00004
1.95771	1.43848	0.00004
1.95925	1.43846	0.00004
1.96078	1.43844	0.00004
1.96232	1.43842	0.00004
1.96386	1.4384	0.00004
1.96541	1.43838	0.00004
1.96696	1.43836	0.00004
1.9685	1.43834	0.00004
1.97006	1.43832	0.00004
1.97161	1.4383	0.00004
1.97316	1.43828	0.00004
1.97472	1.43826	0.00004
1.97628	1.43824	0.00004
1.97785	1.43822	0.00004
1.97941	1.4382	0.00004
1.98098	1.43818	0.00004
1.98255	1.43816	0.00004
1.98413	1.43814	0.00004
1.9857	1.43812	0.00004
1.98728	1.4381	0.00004
1.98886	1.43808	0.00004
1.99045	1.43806	0.00004
1.99203	1.43803	0.00004
