Wavelength	n	k
1.36	1.748	0.02
1.37	1.748	0.019
1.38	1.748	0.02
1.39	1.749	0.02
1.4	1.748	0.02
1.41	1.748	0.02
1.42	1.748	0.019
1.43	1.748	0.019
1.44	1.748	0.019
1.45	1.748	0.02
1.46	1.748	0.019
1.47	1.748	0.019
1.48	1.748	0.018
1.49	1.747	0.019
1.5	1.747	0.019
1.51	1.747	0.018
1.52	1.747	0.018
1.53	1.746	0.018
1.54	1.746	0.019
1.55	1.747	0.018
1.56	1.746	0.018
1.57	1.746	0.018
1.58	1.745	0.018
1.59	1.745	0.016
1.6	1.745	0.018
1.61	1.745	0.018
1.62	1.745	0.018
1.63	1.744	0.018
1.64	1.744	0.018
1.65	1.744	0.019
1.66	1.744	0.019
1.67	1.744	0.019
1.68	1.744	0.019
1.69	1.744	0.019
1.7	1.744	0.019
1.71	1.744	0.019
1.72	1.744	0.019
1.73	1.744	0.019
1.74	1.743	0.018
1.75	1.743	0.019
1.76	1.743	0.019
1.77	1.744	0.018
1.78	1.744	0.018
1.79	1.743	0.017
1.8	1.743	0.017
1.81	1.742	0.017
1.82	1.742	0.018
1.83	1.742	0.017
1.84	1.741	0.017
1.85	1.74	0.017
1.86	1.739	0.018
1.87	1.739	0.019
1.88	1.74	0.02
1.89	1.741	0.02
1.9	1.741	0.02
1.91	1.741	0.019
1.92	1.741	0.019
1.93	1.741	0.019
1.94	1.741	0.019
1.95	1.741	0.019
1.96	1.741	0.019
1.97	1.74	0.018
1.98	1.74	0.018
1.99	1.739	0.018
2	1.739	0.018
2.01	1.739	0.018
2.02	1.738	0.018
2.03	1.738	0.018
2.04	1.737	0.018
2.05	1.737	0.019
2.06	1.737	0.019
2.07	1.737	0.019
2.08	1.737	0.019
2.09	1.737	0.019
2.1	1.737	0.018
2.11	1.736	0.018
2.12	1.736	0.018
2.13	1.736	0.019
2.14	1.735	0.019
2.15	1.735	0.019
2.16	1.735	0.019
2.17	1.735	0.02
2.18	1.735	0.019
2.19	1.735	0.019
2.2	1.734	0.019
2.21	1.734	0.02
2.22	1.734	0.02
2.23	1.734	0.021
2.24	1.734	0.02
2.25	1.734	0.02
2.26	1.734	0.021
2.27	1.734	0.02
2.28	1.734	0.02
2.29	1.734	0.02
